=========================================
Job ID          : 21074079
Node            : clx-a-02
PTM type        : acet_k
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Wed Mar  4 04:25:45 AM EST 2026
=========================================

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.6380 | val_loss=0.6054 | val_mcc=0.3287 | val_f1=0.6829
Epoch 002 | train_loss=0.5805 | val_loss=0.5767 | val_mcc=0.3835 | val_f1=0.6698
Epoch 003 | train_loss=0.5365 | val_loss=0.5631 | val_mcc=0.4036 | val_f1=0.6802
Epoch 004 | train_loss=0.4883 | val_loss=0.5628 | val_mcc=0.4187 | val_f1=0.6992
Epoch 005 | train_loss=0.4279 | val_loss=0.5847 | val_mcc=0.4237 | val_f1=0.7141
Epoch 006 | train_loss=0.3641 | val_loss=0.6172 | val_mcc=0.4257 | val_f1=0.7034
Epoch 007 | train_loss=0.3067 | val_loss=0.6709 | val_mcc=0.4280 | val_f1=0.6898
Epoch 008 | train_loss=0.2570 | val_loss=0.7530 | val_mcc=0.4379 | val_f1=0.7060
Epoch 009 | train_loss=0.2194 | val_loss=0.7795 | val_mcc=0.4330 | val_f1=0.7008
Epoch 010 | train_loss=0.1904 | val_loss=0.8745 | val_mcc=0.4319 | val_f1=0.6975
Epoch 011 | train_loss=0.1715 | val_loss=0.8941 | val_mcc=0.4209 | val_f1=0.6946
Epoch 012 | train_loss=0.1574 | val_loss=0.9255 | val_mcc=0.4354 | val_f1=0.7054
Epoch 013 | train_loss=0.1450 | val_loss=0.9742 | val_mcc=0.4474 | val_f1=0.7191
Epoch 014 | train_loss=0.1336 | val_loss=1.0201 | val_mcc=0.4388 | val_f1=0.7065
Epoch 015 | train_loss=0.1282 | val_loss=0.8923 | val_mcc=0.4372 | val_f1=0.7042
Epoch 016 | train_loss=0.1206 | val_loss=0.9789 | val_mcc=0.4287 | val_f1=0.6890
Epoch 017 | train_loss=0.1142 | val_loss=1.0209 | val_mcc=0.4465 | val_f1=0.7066
Epoch 018 | train_loss=0.1087 | val_loss=1.0788 | val_mcc=0.4374 | val_f1=0.6887
Epoch 019 | train_loss=0.1042 | val_loss=1.1645 | val_mcc=0.4447 | val_f1=0.7114
Epoch 020 | train_loss=0.0999 | val_loss=1.1390 | val_mcc=0.4434 | val_f1=0.7107
Epoch 021 | train_loss=0.0971 | val_loss=1.1180 | val_mcc=0.4453 | val_f1=0.7046
Epoch 022 | train_loss=0.0971 | val_loss=1.1298 | val_mcc=0.4489 | val_f1=0.7096
Epoch 023 | train_loss=0.0900 | val_loss=1.2689 | val_mcc=0.4461 | val_f1=0.6992
Epoch 024 | train_loss=0.0874 | val_loss=1.1347 | val_mcc=0.4428 | val_f1=0.7011
Epoch 025 | train_loss=0.0822 | val_loss=1.2647 | val_mcc=0.4405 | val_f1=0.6913
Epoch 026 | train_loss=0.0842 | val_loss=1.2434 | val_mcc=0.4463 | val_f1=0.6991
Epoch 027 | train_loss=0.0796 | val_loss=1.1002 | val_mcc=0.4440 | val_f1=0.7001
Epoch 028 | train_loss=0.0790 | val_loss=1.1117 | val_mcc=0.4454 | val_f1=0.7149
Epoch 029 | train_loss=0.0731 | val_loss=1.1651 | val_mcc=0.4375 | val_f1=0.7039
Epoch 030 | train_loss=0.0741 | val_loss=1.2661 | val_mcc=0.4491 | val_f1=0.7171
Epoch 031 | train_loss=0.0696 | val_loss=1.2770 | val_mcc=0.4484 | val_f1=0.7019
Epoch 032 | train_loss=0.0708 | val_loss=1.3099 | val_mcc=0.4442 | val_f1=0.6988
Epoch 033 | train_loss=0.0709 | val_loss=1.1159 | val_mcc=0.4410 | val_f1=0.6939
Epoch 034 | train_loss=0.0659 | val_loss=1.2030 | val_mcc=0.4481 | val_f1=0.6975
Epoch 035 | train_loss=0.0641 | val_loss=1.2111 | val_mcc=0.4457 | val_f1=0.7239
Best model saved to: classifier_runs/acet_k/cnn_gru/20260304_042943/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=1. Run dir: classifier_runs/acet_k/cnn_gru/20260304_042943

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=2, epochs=35 ===
Epoch 001 | train_loss=0.6533 | val_loss=0.6139 | val_mcc=0.3008 | val_f1=0.6536
Epoch 002 | train_loss=0.5944 | val_loss=0.5721 | val_mcc=0.3968 | val_f1=0.7058
Epoch 003 | train_loss=0.5430 | val_loss=0.5592 | val_mcc=0.3987 | val_f1=0.6776
Epoch 004 | train_loss=0.4871 | val_loss=0.5603 | val_mcc=0.4462 | val_f1=0.7183
Epoch 005 | train_loss=0.4156 | val_loss=0.5702 | val_mcc=0.4497 | val_f1=0.6864
Epoch 006 | train_loss=0.3410 | val_loss=0.5979 | val_mcc=0.4464 | val_f1=0.7180
Epoch 007 | train_loss=0.2818 | val_loss=0.6836 | val_mcc=0.4602 | val_f1=0.7197
Epoch 008 | train_loss=0.2279 | val_loss=0.7324 | val_mcc=0.4564 | val_f1=0.7194
Epoch 009 | train_loss=0.1939 | val_loss=0.8918 | val_mcc=0.4527 | val_f1=0.6959
Epoch 010 | train_loss=0.1701 | val_loss=0.8607 | val_mcc=0.4407 | val_f1=0.6920
Epoch 011 | train_loss=0.1553 | val_loss=0.8035 | val_mcc=0.4554 | val_f1=0.7160
Epoch 012 | train_loss=0.1393 | val_loss=0.9293 | val_mcc=0.4537 | val_f1=0.7170
Epoch 013 | train_loss=0.1337 | val_loss=1.0233 | val_mcc=0.4665 | val_f1=0.7185
Epoch 014 | train_loss=0.1195 | val_loss=0.9476 | val_mcc=0.4561 | val_f1=0.7178
Epoch 015 | train_loss=0.1193 | val_loss=0.8596 | val_mcc=0.4508 | val_f1=0.7054
Epoch 016 | train_loss=0.1141 | val_loss=0.9879 | val_mcc=0.4642 | val_f1=0.7256
Epoch 017 | train_loss=0.1081 | val_loss=1.0673 | val_mcc=0.4665 | val_f1=0.7144
Epoch 018 | train_loss=0.1021 | val_loss=1.0063 | val_mcc=0.4658 | val_f1=0.7251
Epoch 019 | train_loss=0.0994 | val_loss=1.1924 | val_mcc=0.4518 | val_f1=0.7074
Epoch 020 | train_loss=0.0945 | val_loss=1.0405 | val_mcc=0.4628 | val_f1=0.7226
Epoch 021 | train_loss=0.0903 | val_loss=1.0677 | val_mcc=0.4669 | val_f1=0.7268
Epoch 022 | train_loss=0.0888 | val_loss=1.1255 | val_mcc=0.4610 | val_f1=0.7177
Epoch 023 | train_loss=0.0888 | val_loss=1.1347 | val_mcc=0.4627 | val_f1=0.7143
Epoch 024 | train_loss=0.0842 | val_loss=1.1413 | val_mcc=0.4531 | val_f1=0.7011
Epoch 025 | train_loss=0.0856 | val_loss=1.1416 | val_mcc=0.4678 | val_f1=0.7278
Epoch 026 | train_loss=0.0806 | val_loss=1.1102 | val_mcc=0.4648 | val_f1=0.7138
Epoch 027 | train_loss=0.0787 | val_loss=1.2285 | val_mcc=0.4633 | val_f1=0.7128
