=========================================
Job ID          : 21101497
Node            : skl-a-26
PTM type        : sumo_k
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:27 AM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=sumo_k =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.6469 | val_loss=0.6191 | val_mcc=0.3308 | val_f1=0.6884
Epoch 002 | train_loss=0.5948 | val_loss=0.6308 | val_mcc=0.3513 | val_f1=0.7178
Epoch 003 | train_loss=0.5473 | val_loss=0.5648 | val_mcc=0.4241 | val_f1=0.7266
Epoch 004 | train_loss=0.4947 | val_loss=0.5553 | val_mcc=0.4336 | val_f1=0.7044
Epoch 005 | train_loss=0.4378 | val_loss=0.5812 | val_mcc=0.4387 | val_f1=0.7053
Epoch 006 | train_loss=0.3815 | val_loss=0.6319 | val_mcc=0.4442 | val_f1=0.7177
Epoch 007 | train_loss=0.3258 | val_loss=0.6655 | val_mcc=0.4521 | val_f1=0.7327
Epoch 008 | train_loss=0.2816 | val_loss=0.6883 | val_mcc=0.4369 | val_f1=0.7098
Epoch 009 | train_loss=0.2476 | val_loss=0.7667 | val_mcc=0.4492 | val_f1=0.7087
Epoch 010 | train_loss=0.2193 | val_loss=0.7775 | val_mcc=0.4466 | val_f1=0.7308
Epoch 011 | train_loss=0.1980 | val_loss=0.8603 | val_mcc=0.4473 | val_f1=0.7245
Epoch 012 | train_loss=0.1806 | val_loss=0.8913 | val_mcc=0.4385 | val_f1=0.7073
Epoch 013 | train_loss=0.1714 | val_loss=0.8647 | val_mcc=0.4512 | val_f1=0.7156
Epoch 014 | train_loss=0.1584 | val_loss=0.9852 | val_mcc=0.4457 | val_f1=0.7336
Epoch 015 | train_loss=0.1504 | val_loss=0.9351 | val_mcc=0.4578 | val_f1=0.7328
Epoch 016 | train_loss=0.1437 | val_loss=0.9104 | val_mcc=0.4525 | val_f1=0.7257
Epoch 017 | train_loss=0.1401 | val_loss=0.9123 | val_mcc=0.4463 | val_f1=0.7145
