=========================================
Job ID          : 21101498
Node            : skl-a-30
PTM type        : met_r
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:27 AM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=met_r =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.5970 | val_loss=0.5794 | val_mcc=0.2941 | val_f1=0.4265
Epoch 002 | train_loss=0.5380 | val_loss=0.5444 | val_mcc=0.3515 | val_f1=0.4739
Epoch 003 | train_loss=0.4846 | val_loss=0.5529 | val_mcc=0.3965 | val_f1=0.5111
Epoch 004 | train_loss=0.4118 | val_loss=0.5315 | val_mcc=0.3957 | val_f1=0.5038
Epoch 005 | train_loss=0.3369 | val_loss=0.5331 | val_mcc=0.4157 | val_f1=0.5252
Epoch 006 | train_loss=0.2653 | val_loss=0.6623 | val_mcc=0.4209 | val_f1=0.5303
Epoch 007 | train_loss=0.2165 | val_loss=0.7239 | val_mcc=0.4502 | val_f1=0.5520
Epoch 008 | train_loss=0.1814 | val_loss=0.7371 | val_mcc=0.4408 | val_f1=0.5452
Epoch 009 | train_loss=0.1668 | val_loss=0.8538 | val_mcc=0.4621 | val_f1=0.5627
Epoch 010 | train_loss=0.1424 | val_loss=0.8497 | val_mcc=0.4697 | val_f1=0.5685
Epoch 011 | train_loss=0.1298 | val_loss=0.8132 | val_mcc=0.4558 | val_f1=0.5578
Epoch 012 | train_loss=0.1206 | val_loss=1.0304 | val_mcc=0.4716 | val_f1=0.5690
Epoch 013 | train_loss=0.1150 | val_loss=1.0652 | val_mcc=0.4713 | val_f1=0.5696
Epoch 014 | train_loss=0.1106 | val_loss=1.1512 | val_mcc=0.4555 | val_f1=0.5554
Epoch 015 | train_loss=0.0987 | val_loss=1.0896 | val_mcc=0.4688 | val_f1=0.5654
Epoch 016 | train_loss=0.1000 | val_loss=1.2207 | val_mcc=0.4837 | val_f1=0.5786
Epoch 017 | train_loss=0.0962 | val_loss=1.1894 | val_mcc=0.4714 | val_f1=0.5654
Epoch 018 | train_loss=0.0915 | val_loss=1.2637 | val_mcc=0.4704 | val_f1=0.5644
Epoch 019 | train_loss=0.0884 | val_loss=1.1528 | val_mcc=0.4647 | val_f1=0.5628
Epoch 020 | train_loss=0.0872 | val_loss=1.0701 | val_mcc=0.4710 | val_f1=0.5659
Epoch 021 | train_loss=0.0835 | val_loss=1.3897 | val_mcc=0.4671 | val_f1=0.5583
Epoch 022 | train_loss=0.0769 | val_loss=1.2562 | val_mcc=0.4602 | val_f1=0.5594
Epoch 023 | train_loss=0.0788 | val_loss=1.3394 | val_mcc=0.4702 | val_f1=0.5608
Epoch 024 | train_loss=0.0765 | val_loss=1.4840 | val_mcc=0.4758 | val_f1=0.5626
Epoch 025 | train_loss=0.0743 | val_loss=1.3813 | val_mcc=0.4771 | val_f1=0.5688
Epoch 026 | train_loss=0.0677 | val_loss=1.1813 | val_mcc=0.4669 | val_f1=0.5628
Epoch 027 | train_loss=0.0685 | val_loss=1.1732 | val_mcc=0.4802 | val_f1=0.5745
Epoch 028 | train_loss=0.0694 | val_loss=1.1948 | val_mcc=0.4809 | val_f1=0.5749
Epoch 029 | train_loss=0.0639 | val_loss=1.3138 | val_mcc=0.4811 | val_f1=0.5740
Epoch 030 | train_loss=0.0631 | val_loss=1.2554 | val_mcc=0.4863 | val_f1=0.5787
Epoch 031 | train_loss=0.0678 | val_loss=1.3250 | val_mcc=0.4816 | val_f1=0.5762
Epoch 032 | train_loss=0.0652 | val_loss=1.3995 | val_mcc=0.4865 | val_f1=0.5687
Epoch 033 | train_loss=0.0589 | val_loss=1.3214 | val_mcc=0.4712 | val_f1=0.5602
Epoch 034 | train_loss=0.0596 | val_loss=1.2763 | val_mcc=0.4931 | val_f1=0.5842
Epoch 035 | train_loss=0.0616 | val_loss=1.5047 | val_mcc=0.4859 | val_f1=0.5704
Best model saved to: classifier_runs/met_r/cnn_gru/20260320_112105/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=1. Run dir: classifier_runs/met_r/cnn_gru/20260320_112105

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=2, epochs=35 ===
Epoch 001 | train_loss=0.6140 | val_loss=0.5884 | val_mcc=0.2848 | val_f1=0.4263
Epoch 002 | train_loss=0.5736 | val_loss=0.5804 | val_mcc=0.3393 | val_f1=0.4679
Epoch 003 | train_loss=0.5312 | val_loss=0.5566 | val_mcc=0.3057 | val_f1=0.4371
Epoch 004 | train_loss=0.4737 | val_loss=0.5682 | val_mcc=0.3850 | val_f1=0.5028
Epoch 005 | train_loss=0.4006 | val_loss=0.5652 | val_mcc=0.3901 | val_f1=0.5069
Epoch 006 | train_loss=0.3157 | val_loss=0.6920 | val_mcc=0.4186 | val_f1=0.5279
Epoch 007 | train_loss=0.2473 | val_loss=0.6988 | val_mcc=0.4234 | val_f1=0.5325
Epoch 008 | train_loss=0.1938 | val_loss=0.7923 | val_mcc=0.4003 | val_f1=0.5137
Epoch 009 | train_loss=0.1664 | val_loss=0.9813 | val_mcc=0.4365 | val_f1=0.5415
Epoch 010 | train_loss=0.1436 | val_loss=1.2276 | val_mcc=0.4301 | val_f1=0.5313
Epoch 011 | train_loss=0.1395 | val_loss=1.0170 | val_mcc=0.4299 | val_f1=0.5367
Epoch 012 | train_loss=0.1199 | val_loss=1.0637 | val_mcc=0.4495 | val_f1=0.5523
Epoch 013 | train_loss=0.1076 | val_loss=1.2418 | val_mcc=0.4322 | val_f1=0.5361
Epoch 014 | train_loss=0.1096 | val_loss=1.0352 | val_mcc=0.4367 | val_f1=0.5414
Epoch 015 | train_loss=0.1037 | val_loss=1.1102 | val_mcc=0.4450 | val_f1=0.5449
Epoch 016 | train_loss=0.0984 | val_loss=1.3944 | val_mcc=0.4408 | val_f1=0.5436
Epoch 017 | train_loss=0.0929 | val_loss=1.4339 | val_mcc=0.4555 | val_f1=0.5464
