=========================================
Job ID          : 21101499
Node            : skl-a-45
PTM type        : phos_y
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:49 PM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=phos_y =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.5999 | val_loss=0.5777 | val_mcc=0.3072 | val_f1=0.4396
Epoch 002 | train_loss=0.5400 | val_loss=0.5468 | val_mcc=0.3639 | val_f1=0.4873
Epoch 003 | train_loss=0.4868 | val_loss=0.5378 | val_mcc=0.3736 | val_f1=0.4935
Epoch 004 | train_loss=0.4238 | val_loss=0.5243 | val_mcc=0.3844 | val_f1=0.5022
Epoch 005 | train_loss=0.3544 | val_loss=0.5787 | val_mcc=0.3906 | val_f1=0.5088
Epoch 006 | train_loss=0.2891 | val_loss=0.7961 | val_mcc=0.4108 | val_f1=0.5254
Epoch 007 | train_loss=0.2333 | val_loss=0.6697 | val_mcc=0.4020 | val_f1=0.5184
Epoch 008 | train_loss=0.1937 | val_loss=0.8583 | val_mcc=0.4254 | val_f1=0.5363
Epoch 009 | train_loss=0.1632 | val_loss=0.9578 | val_mcc=0.3984 | val_f1=0.5157
Epoch 010 | train_loss=0.1475 | val_loss=1.0190 | val_mcc=0.4286 | val_f1=0.5376
Epoch 011 | train_loss=0.1296 | val_loss=1.1158 | val_mcc=0.4363 | val_f1=0.5390
Epoch 012 | train_loss=0.1183 | val_loss=1.1078 | val_mcc=0.4193 | val_f1=0.5264
Epoch 013 | train_loss=0.1109 | val_loss=1.1755 | val_mcc=0.4310 | val_f1=0.5361
Epoch 014 | train_loss=0.0985 | val_loss=1.3642 | val_mcc=0.4403 | val_f1=0.5410
Epoch 015 | train_loss=0.0943 | val_loss=1.2044 | val_mcc=0.4213 | val_f1=0.5320
Epoch 016 | train_loss=0.0912 | val_loss=1.3626 | val_mcc=0.4083 | val_f1=0.5144
Epoch 017 | train_loss=0.0826 | val_loss=1.2509 | val_mcc=0.4167 | val_f1=0.5228
Epoch 018 | train_loss=0.0781 | val_loss=1.7717 | val_mcc=0.4294 | val_f1=0.5146
Epoch 019 | train_loss=0.0771 | val_loss=1.5583 | val_mcc=0.4398 | val_f1=0.5318
Epoch 020 | train_loss=0.0753 | val_loss=1.4688 | val_mcc=0.4383 | val_f1=0.5433
Epoch 021 | train_loss=0.0723 | val_loss=1.4344 | val_mcc=0.4401 | val_f1=0.5435
Epoch 022 | train_loss=0.0704 | val_loss=1.3146 | val_mcc=0.4182 | val_f1=0.5301
Epoch 023 | train_loss=0.0728 | val_loss=1.3377 | val_mcc=0.4324 | val_f1=0.5394
Epoch 024 | train_loss=0.0671 | val_loss=1.6286 | val_mcc=0.4409 | val_f1=0.5346
Epoch 025 | train_loss=0.0629 | val_loss=1.2582 | val_mcc=0.4211 | val_f1=0.5327
Epoch 026 | train_loss=0.0614 | val_loss=1.8212 | val_mcc=0.4272 | val_f1=0.5162
Epoch 027 | train_loss=0.0636 | val_loss=1.2993 | val_mcc=0.4251 | val_f1=0.5358
Epoch 028 | train_loss=0.0585 | val_loss=1.8712 | val_mcc=0.4253 | val_f1=0.5181
Epoch 029 | train_loss=0.0592 | val_loss=1.3796 | val_mcc=0.4272 | val_f1=0.5324
Epoch 030 | train_loss=0.0567 | val_loss=1.2670 | val_mcc=0.4024 | val_f1=0.5189
Epoch 031 | train_loss=0.0541 | val_loss=1.6537 | val_mcc=0.4336 | val_f1=0.5337
Epoch 032 | train_loss=0.0541 | val_loss=1.3703 | val_mcc=0.4147 | val_f1=0.5277
Epoch 033 | train_loss=0.0541 | val_loss=1.3074 | val_mcc=0.4253 | val_f1=0.5350
Epoch 034 | train_loss=0.0484 | val_loss=1.4845 | val_mcc=0.4233 | val_f1=0.5214
Epoch 035 | train_loss=0.0523 | val_loss=1.3670 | val_mcc=0.4083 | val_f1=0.5206
Best model saved to: classifier_runs/phos_y/cnn_gru/20260320_232106/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=1. Run dir: classifier_runs/phos_y/cnn_gru/20260320_232106

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=2, epochs=35 ===
Epoch 001 | train_loss=0.6157 | val_loss=0.5856 | val_mcc=0.2938 | val_f1=0.4346
Epoch 002 | train_loss=0.5627 | val_loss=0.5588 | val_mcc=0.3384 | val_f1=0.4678
Epoch 003 | train_loss=0.5141 | val_loss=0.5437 | val_mcc=0.3717 | val_f1=0.4956
